surname,eg
OHONGO,luhya
ABDALLA,mijikenda
ADHIAMBO,luhya
NANJALA,teso
SIMIYU,luhya
NASIMIYU,luhya
OJERO,luo
NYONGESA,luhya
OWDO,mijikenda
MUREWE,mijikenda
CHANYA,taita
JUMA,luo
MURIMA,mijikenda
KENGA,mijikenda
KIDIWO,basuba
ABUDH,bajuni
ATIENO,luo
OMAR,mijikenda
NYWAA,mijikenda
ALI,bajuni
OMAR,mbeere
AIDEED,somali
ATIENO,luo
ZAWADI,mijikenda
KEMUNTO,kisii
MORAGWA,kisii
NYABOKE,kisii
JOSEPH,kisii
OKOTH,luo
AKINYI,luo
MUTUA,kamba
CHERONO,kalenjin
SHUNA,masai
OMBONGI,kisii
ATIENO,luo
OTIENO,luo
BII,kalenjin
MULEI,kamba
NDEGE,kisii
KENGA,mijikenda
LANGAT,kalenjin
KIRUI,kalenjin
OKIMBA,luo
WALEPO,masai
LETORONTO,masai
KIYUKA,kisii
ACHIENG'OPUK,luo
KWAMBOKA,kisii
MORAA,kisii
HABILLA,mijikenda
NGETICH,kalenjin
ANYONA,kisii
MWENDE,kamba
CHERIYOT,kalenjin
MWANDAWIRO,taita
SIELE,kalenjin
OCHIENG,luo
ABONGO,luo
MASILA,kamba
J,luhya
KONYA,luhya
KIOKO,kamba
CHEMUTAI,kalenjin
ABUD,somali
NTHUKU,meru
MOLU,somali
KORIR,kalenjin
ISAAC,masai
IPEPA,teso
MARU,kalenjin
JUMA,bajuni
INYANGIRA,luhya
CHOKO,luhya
NJERU,kikuyu
NJERI,kikuyu
NYAMBURA,kikuyu
JUMA,swahili
MACHARIA,kikuyu
LUGADA,luhya
VALARY,luhya
ANUNDA,luhya
ASENJI,luhya
MUONJA,luhya
MUNYAO,kamba
MWANGI,kikuyu
CHEGE,kikuyu
KAMAU,kikuyu
MAINA,kikuyu
MWANGI,kikuyu
CHAMA,kamba
MBULA,kamba
MUTINDA,kamba
WANZAA,kamba
KYENZE,kamba
KIMONDI,kamba
AOKO,luo
LEMPARA,masai
ATIENO,luo
LIVEHA,luhya
MULIMI,luhya
ODUOR,luo
NASABA,luhya
NASIPONDI,luhya
MAWEU,kamba
WAMBUA.,kamba
MUTHUI,kamba
AKOTH,luo
TANUI,kalenjin
KIMUYU,kamba
MAWIYA,kamba
WAMBUI,kikuyu
NKIROI,samburu
APIYO,luo
CHERUYOT,kalenjin
KATUMO,kamba
NDETI,masai
MUTAI,kalenjin
KOECH,kalenjin
MUGOSI,kamba
ADHIAMBO,luo
ADHIAMBO,luo
NKAISERI.,masai
TANUI,kalenjin
MULANDI,kamba
KIRUI,kalenjin
MUSYOKA,kamba
MAINA,kikuyu
NJERI,kikuyu
WANJUGU,kikuyu
WARUINO,kikuyu
LANGAT,kalenjin
WEKESA,luhya
MUTIA,kamba
KIRUI,kalenjin
KIRUI,kalenjin
WAIHUBU,kikuyu
MUTISYA,kamba
ANYANGO,luo
OPILE,luo
CHEPKWONY,kalenjin
ROTICH,kalenjin
KEREU,kisii
MUTHENI,kamba
LANGAT,kalenjin
ANAYO,kisii
AOKO,luo
SITIENEI,kalenjin
KAMAU,kikuyu
WANJIKU,kikuyu
WANGARI,kikuyu
WANGARI,kikuyu
WANJERI,kikuyu
MIKE,kamba
ATIENO,luo
ATIENO,mijikenda
NDORO,mijikenda
NGETICH,kalenjin
OYARO,kisii
ZAINABU,luhya
CHAI,mijikenda
MORAA,kisii
BETT,kalenjin
CHURUIYOT,kalenjin
MWANGIRI,mijikenda
MASILA,kamba
MWAJUMA,mijikenda
ROTICH,kalenjin
MADASIA,kalenjin
NDUNGU,kikuyu
CHEMILA,luhya
HONGO,luo
MUIA,kamba
ISANDA,luhya
OKOTH,luo
MUTUA,kamba
BARASA,luhya
OWAMA,luo
MUENI,kamba
MWENDE,kamba
MIRUKA,kisii
MUINDE,kamba
MUNYUNY,kalenjin
CHELANG'AT,kalenjin
BUNGEI,kalenjin
